Zip,CurrentTemp,CurrentCondition,MorningTemp,AfternoonTemp,EveningTemp,OvernightTemp
37820,72,Mostly Cloudy,67,78,67,66
37821,74,Partly Cloudy,69,79,68,66
37822,74,Partly Cloudy,69,79,68,66
37824,72,Mostly Cloudy,65,75,65,63
37825,72,Mostly Cloudy,65,75,65,63
37826,70,Mostly Cloudy,66,75,67,66
37828,69,Mostly Cloudy,65,76,66,65
37829,69,Cloudy,66,75,67,66
37830,70,Cloudy,65,76,68,66
37831,70,Mostly Cloudy,66,76,68,66
37840,70,Cloudy,67,75,68,66
37841,70,Partly Cloudy,65,74,65,62
37843,73,Partly Cloudy,68,77,68,66
37845,67,Mostly Cloudy,64,72,65,64
37846,71,Mostly Cloudy,66,76,67,66
37847,67,Partly Cloudy,62,72,63,61
37848,73,Mostly Cloudy,65,77,67,65
37849,71,Cloudy,68,76,67,66
37851,69,Mostly Cloudy,64,73,65,63
37852,71,Partly Cloudy,66,74,66,63
37853,71,Mostly Cloudy,69,76,69,67
37854,69,Cloudy,66,75,65,64
37857,69,Partly Cloudy,65,76,67,65
37860,72,Partly Cloudy,67,77,67,65
37861,72,Partly Cloudy,68,78,68,66
37862,72,Mostly Cloudy,68,78,68,66
37863,72,Mostly Cloudy,68,77,67,66
37864,72,Partly Cloudy,67,77,67,66
37865,71,Mostly Cloudy,68,75,67,66
37866,72,Mostly Cloudy,68,76,66,65
37867,72,Mostly Cloudy,65,76,65,63
37868,71,Mostly Cloudy,68,76,67,66
37869,71,Partly Cloudy,65,76,67,65
37870,70,Mostly Cloudy,65,75,66,64
37871,73,Partly Cloudy,68,78,67,66
37872,69,Mostly Cloudy,65,73,65,63
37873,71,Partly Cloudy,65,77,66,64
37874,70,Cloudy,67,76,67,66
37876,73,Partly Cloudy,68,78,68,66
37877,73,Partly Cloudy,67,78,68,66
37878,71,Mostly Cloudy,67,75,68,66
37879,72,Partly Cloudy,67,76,66,64
37880,70,Cloudy,66,75,67,66
37881,72,Partly Cloudy,67,76,67,66
37882,71,Mostly Cloudy,67,76,68,66
37885,71,Mostly Cloudy,68,77,68,67
37886,70,Mostly Cloudy,66,75,67,66
37887,69,Mostly Cloudy,66,74,65,64
37888,73,Partly Cloudy,68,76,66,64
37890,73,Partly Cloudy,67,79,68,66
37891,73,Partly Cloudy,67,78,67,65
37892,70,Partly Cloudy,65,75,65,62
37901,71,Mostly Cloudy,68,77,67,67
37902,71,Cloudy,68,77,67,67
37909,70,Mostly Cloudy,67,76,68,67
37912,70,Mostly Cloudy,67,76,68,67
37914,72,Mostly Cloudy,68,76,67,67
37915,72,Mostly Cloudy,68,76,67,67
37916,72,Rain Shower,68,77,68,67
37917,70,Cloudy,68,76,67,67
37918,70,Mostly Cloudy,67,75,66,65
37919,71,Mostly Cloudy,68,77,68,67
37920,71,Mostly Cloudy,68,76,68,67
37921,70,Mostly Cloudy,67,77,68,67
37922,71,Mostly Cloudy,68,76,69,67
37923,71,Mostly Cloudy,68,76,68,67
37924,73,Mostly Cloudy,69,77,67,67
37927,71,Mostly Cloudy,68,77,67,67
37928,71,Mostly Cloudy,68,77,67,67
37929,71,Mostly Cloudy,68,77,67,67
37930,71,Cloudy,68,77,67,67
37931,71,Rain Shower,67,76,68,67
37932,70,Cloudy,66,76,68,66
37933,71,Cloudy,68,77,67,67
37934,71,Mostly Cloudy,67,76,67,66
37938,70,Mostly Cloudy,67,75,65,65
37939,71,Mostly Cloudy,68,77,67,67
37940,71,Mostly Cloudy,68,77,67,67
37950,71,Mostly Cloudy,68,77,67,67
37995,71,Mostly Cloudy,68,77,67,67
37996,72,Rain Shower,68,77,68,67
37997,71,Mostly Cloudy,68,77,67,67
37998,73,Mostly Cloudy,68,78,68,67
38001,72,Sunny,70,80,67,63
38002,73,Sunny,73,80,68,63
38004,74,Sunny,72,80,67,63
38006,73,Sunny,71,80,66,63
38007,73,Sunny,72,80,68,64
38008,71,Fair,69,80,66,62
38010,74,Sunny,72,80,67,63
38011,74,Sunny,71,80,68,64
38012,73,Sunny,71,80,66,62
38014,74,Sunny,73,81,68,64
38015,71,Sunny,70,80,68,64
38016,73,Sunny,72,80,68,63
38017,73,Sunny,71,81,68,64
38018,74,Sunny,71,81,69,64
38019,73,Sunny,71,80,67,63
38021,73,Sunny,70,80,66,62
38023,74,Sunny,71,80,68,63
38024,73,Sunny,72,80,67,63
38025,74,Sunny,73,80,67,63
38027,73,Sunny,71,80,68,64
38028,74,Sunny,73,80,67,63
38029,75,Sunny,72,81,68,64
38030,74,Sunny,71,80,68,64
38034,73,Sunny,71,80,67,63
38036,74,Sunny,72,80,67,63
38037,75,Sunny,72,80,67,63
38039,74,Sunny,71,79,66,62
38040,75,Sunny,73,80,67,63
38041,73,Sunny,71,80,68,63
38042,74,Sunny,71,79,66,62
38044,72,Partly Cloudy,69,80,66,62
38045,75,Sunny,73,79,67,63
38046,74,Sunny,71,79,66,62
38047,74,Sunny,71,80,68,64
38048,75,Sunny,72,80,67,63
38049,74,Sunny,72,80,67,63
38050,74,Sunny,71,80,67,63
38052,73,Partly Cloudy,69,79,66,62
38053,74,Sunny,72,81,68,63
38054,73,Sunny,71,80,68,63
38055,74,Sunny,72,81,68,63
38057,74,Sunny,72,80,67,63
38058,73,Sunny,71,80,67,63
38059,73,Sunny,71,80,66,63
38060,74,Sunny,72,80,67,63
38061,71,Partly Cloudy,68,80,66,61
38063,74,Sunny,71,80,67,63
38066,74,Sunny,72,80,68,63
38067,74,Sunny,71,79,66,62
38068,74,Sunny,73,79,66,63
38069,74,Sunny,72,80,67,62
38070,74,Sunny,71,80,67,63
38071,74,Sunny,71,80,68,63
38075,73,Sunny,70,79,66,62
38076,74,Sunny,73,79,66,62
38077,71,Fair,69,79,67,63
38079,71,Fair,69,79,67,63
38080,72,Sunny,70,79,67,64
38083,74,Sunny,71,81,68,63
38088,74,Sunny,72,81,69,64
38101,75,Sunny,73,82,71,66
38103,74,Sunny,73,82,71,66
38104,75,Sunny,73,82,71,66
38105,75,Sunny,73,82,71,66
38106,75,Sunny,72,82,71,66
38107,75,Sunny,73,82,71,66
38108,75,Sunny,73,82,71,66
38109,76,Sunny,73,82,71,66
38111,74,Sunny,72,82,71,66
38112,74,Sunny,72,82,71,66
38113,75,Sunny,73,82,71,66
38114,75,Sunny,73,82,71,66
38115,74,Sunny,71,81,71,65
38116,76,Sunny,73,82,72,66
38117,74,Sunny,72,82,70,65
38118,75,Sunny,72,82,71,66
38119,73,Sunny,71,81,70,65
38120,74,Sunny,71,82,70,65
38122,74,Sunny,72,82,71,66
38124,75,Sunny,73,82,71,66
38125,74,Sunny,70,81,69,64
38126,75,Sunny,73,82,71,66
38127,74,Sunny,73,81,70,65
38128,74,Sunny,72,81,70,65
38130,76,Sunny,73,82,72,66
38131,76,Sunny,73,82,72,66
38132,76,Sunny,73,82,72,66
38133,74,Sunny,72,81,69,64
38134,74,Sunny,72,82,69,65
38135,75,Sunny,72,81,69,64
38136,75,Sunny,73,82,71,66
38137,74,Sunny,73,82,71,66
38138,73,Sunny,71,81,69,65
38139,74,Sunny,70,81,68,64
38141,73,Sunny,71,81,70,65
38145,74,Sunny,73,82,71,66
38148,75,Sunny,73,82,71,66
38150,74,Sunny,73,82,71,66
38151,75,Sunny,73,82,71,66
38152,74,Sunny,72,82,71,66
38157,74,Sunny,73,82,71,66
38159,74,Sunny,73,82,71,66
38161,74,Sunny,73,82,71,66
38163,74,Sunny,73,82,71,66
38166,74,Sunny,73,82,71,66
38167,74,Sunny,73,82,71,66
38168,74,Sunny,73,82,71,66
38173,74,Sunny,73,82,71,66
38174,74,Sunny,73,82,71,66
38175,74,Sunny,73,82,71,66
38177,74,Sunny,73,82,71,66
38181,74,Sunny,73,82,71,66
38182,74,Sunny,73,82,71,66
38183,74,Sunny,73,82,71,66
38184,74,Sunny,73,82,71,66
38186,74,Sunny,73,82,71,66
38187,74,Sunny,73,82,71,66
38188,74,Sunny,73,82,71,66
38190,74,Sunny,73,82,71,66
38193,74,Sunny,73,82,71,66
38194,74,Sunny,73,82,71,66
38197,74,Sunny,73,82,71,66
38201,70,Mostly Cloudy,68,79,65,61
38220,72,Partly Cloudy,69,79,65,61
38221,71,Mostly Cloudy,69,78,65,61
38222,71,Mostly Cloudy,68,78,65,61
38223,70,Partly Cloudy,68,79,65,61
38224,70,Partly Cloudy,68,78,64,61
38225,69,Partly Cloudy,67,79,65,61
38226,68,Partly Cloudy,66,79,65,62
38229,70,Partly Cloudy,68,79,65,61
38230,70,Partly Cloudy,68,79,65,61
38231,70,Mostly Cloudy,68,78,64,61
38232,72,Fair,69,78,66,63
38233,70,Partly Cloudy,68,80,66,62
38235,71,Mostly Cloudy,69,79,65,61
38236,71,Mostly Cloudy,69,78,65,61
38237,69,Partly Cloudy,68,79,65,62
38238,69,Partly Cloudy,68,79,65,62
38240,71,Sunny,68,80,66,63
38241,68,Partly Cloudy,68,79,65,61
38242,69,Mostly Cloudy,68,79,64,60
38251,70,Cloudy,68,78,65,61
38253,71,Partly Cloudy,68,80,66,62
38254,71,Fair,69,79,67,64
38255,70,Partly Cloudy,68,80,65,62
38256,71,Mostly Cloudy,69,78,65,61
38257,70,Partly Cloudy,67,79,65,62
38258,71,Partly Cloudy,69,79,65,61
38259,71,Fair,70,80,66,63
38260,71,Fair,68,80,66,62
38261,70,Partly Cloudy,67,79,65,62
38271,72,Partly Cloudy,69,79,65,62
38281,70,Partly Cloudy,68,79,65,62
38301,72,Fair,71,80,66,62
38302,73,Fair,71,79,66,62
38303,73,Fair,71,79,66,62
38305,73,Fair,70,79,66,63
38308,73,Fair,71,79,66,62
38310,69,Mostly Cloudy,68,78,65,61
38311,69,Cloudy,68,78,65,61
38313,72,Partly Cloudy,70,79,66,61
38314,72,Fair,71,79,66,62
38315,70,Partly Cloudy,68,79,66,62
38316,71,Partly Cloudy,69,80,66,62
38317,71,Mostly Cloudy,69,79,65,61
38318,72,Mostly Cloudy,69,79,65,61
38320,71,Mostly Cloudy,68,78,65,61
38321,72,Partly Cloudy,69,79,66,61
38324,71,Mostly Cloudy,69,78,65,61
38326,70,Cloudy,69,79,66,63
38327,70,Cloudy,68,78,65,62
38328,70,Cloudy,69,78,65,60
38329,70,Cloudy,68,78,65,61
38330,70,Partly Cloudy,69,80,66,62
38331,73,Sunny,70,80,67,63
38332,71,Mostly Cloudy,69,79,65,61
38333,69,Cloudy,68,77,65,62
38334,72,Partly Cloudy,69,79,65,61
38336,73,Sunny,70,80,66,63
38337,72,Fair,70,79,66,62
38338,72,Partly Cloudy,69,79,66,62
38339,69,Mostly Cloudy,67,79,66,62
38340,71,Partly Cloudy,69,79,66,62
38341,70,Mostly Cloudy,68,78,65,61
38342,71,Mostly Cloudy,69,78,65,61
38343,72,Fair,70,80,66,62
38344,72,Mostly Cloudy,70,79,65,61
38345,71,Partly Cloudy,70,79,66,62
38346,71,Partly Cloudy,69,80,66,62
38347,72,Partly Cloudy,69,78,65,61
38348,71,Partly Cloudy,69,79,65,61
38351,71,Mostly Cloudy,69,78,65,61
38352,72,Partly Cloudy,70,78,66,61
38355,72,Partly Cloudy,70,79,65,62
38356,73,Fair,70,79,66,62
38357,69,Mostly Cloudy,67,79,65,61
38358,71,Partly Cloudy,69,79,66,62
38359,70,Mostly Cloudy,69,78,65,61
38361,70,Mostly Cloudy,69,79,65,61
38362,72,Partly Cloudy,70,80,66,62
38363,70,Cloudy,68,78,65,61
38365,71,Cloudy,69,79,66,63
38366,73,Partly Cloudy,70,79,66,62
38367,70,Mostly Cloudy,67,79,66,62
38368,71,Mostly Cloudy,69,78,65,61
38369,71,Partly Cloudy,69,80,66,62
38370,70,Cloudy,69,78,65,61
38371,70,Cloudy,69,78,65,61
38372,70,Cloudy,69,78,65,62
38374,70,Cloudy,69,78,65,61
38375,70,Mostly Cloudy,68,79,65,61
38376,69,Mostly Cloudy,68,78,66,62
38377,74,Partly Cloudy,69,79,66,62
38378,73,Partly Cloudy,70,79,65,61
38379,69,Mostly Cloudy,68,78,66,62
38380,70,Cloudy,68,78,65,61
38381,73,Fair,69,79,66,62
38382,71,Partly Cloudy,69,80,66,62
38387,71,Mostly Cloudy,69,78,65,60
38388,72,Mostly Cloudy,69,78,65,61
38389,72,Sunny,69,80,66,62
38390,72,Mostly Cloudy,69,78,65,61
38391,73,Sunny,71,79,66,62
38392,74,Sunny,71,80,66,62
38393,70,Mostly Cloudy,67,80,66,61
38401,68,Cloudy,67,78,65,60
38402,68,Cloudy,67,78,65,60
38425,70,Cloudy,69,78,65,62
38449,71,Cloudy,70,76,64,61
38450,68,Cloudy,67,76,64,60
38451,67,Cloudy,66,77,64,59
38452,69,Cloudy,68,78,64,61
38453,71,Cloudy,69,77,65,62
38454,69,Cloudy,68,77,65,61
38455,72,Cloudy,70,78,65,61
38456,67,Cloudy,66,76,63,60
38457,69,Cloudy,67,77,64,61
38459,70,Cloudy,69,77,64,60
38460,68,Cloudy,67,77,63,60
38461,70,Cloudy,68,78,64,60
38462,68,Cloudy,68,76,63,60
38463,69,Cloudy,68,79,65,62
38464,67,Cloudy,66,77,64,61
38468,68,Cloudy,67,77,64,61
38469,69,Cloudy,67,77,64,61
38471,70,Cloudy,68,78,65,62
38472,67,Cloudy,66,77,64,59
38473,69,Cloudy,67,77,64,60
38474,69,Cloudy,68,78,65,60
38475,70,Cloudy,68,78,65,62
38476,69,Cloudy,68,77,65,60
38477,71,Cloudy,69,78,65,61
38478,69,Cloudy,68,78,64,60
38481,69,Cloudy,67,77,65,61
38482,68,Cloudy,66,76,64,59
38483,68,Cloudy,67,76,63,60
38485,69,Cloudy,68,77,64,60
38486,70,Cloudy,67,78,65,61
38487,69,Cloudy,67,78,65,60
38488,72,Cloudy,71,76,65,61
38501,71,Cloudy,69,73,64,62
38502,70,Mostly Cloudy,69,73,63,62
38503,70,Mostly Cloudy,69,73,63,62
38504,70,Partly Cloudy,68,72,64,61
38505,70,Cloudy,69,73,63,61
38506,70,Cloudy,69,73,64,62
38541,70,Mostly Cloudy,68,71,64,63
38542,72,Mostly Cloudy,70,74,66,64
38543,70,Mostly Cloudy,69,72,67,65
38544,71,Cloudy,69,73,63,61
38545,71,Cloudy,69,73,63,61
38547,72,Cloudy,69,75,65,61
38548,72,Cloudy,70,74,65,62
38549,73,Partly Cloudy,69,72,65,63
38550,73,Cloudy,71,76,65,62
38551,73,Mostly Cloudy,70,74,66,63
38552,71,Cloudy,70,73,64,61
38553,67,Cloudy,65,71,64,61
38554,67,Mostly Cloudy,66,71,63,61
38555,66,Cloudy,65,72,63,61
38556,69,Mostly Cloudy,66,71,63,61
38557,66,Cloudy,65,72,63,61
38558,66,Cloudy,64,72,64,61
38559,72,Cloudy,71,75,65,62
38560,73,Cloudy,69,75,66,62
38562,72,Cloudy,70,73,65,62
38563,72,Cloudy,69,75,65,61
38564,73,Cloudy,70,74,66,62
38565,71,Mostly Cloudy,67,74,64,61
38567,73,Cloudy,69,75,65,61
38568,71,Mostly Cloudy,69,72,65,62
38569,72,Cloudy,70,74,64,61
38570,71,Mostly Cloudy,68,73,64,63
38571,67,Cloudy,65,72,64,61
38572,67,Cloudy,65,72,63,61
38573,73,Partly Cloudy,69,73,66,63
38574,68,Mostly Cloudy,66,71,63,60
38575,72,Mostly Cloudy,68,72,65,62
38577,73,Partly Cloudy,69,73,65,62
38578,67,Cloudy,65,71,63,60
38579,72,Cloudy,71,76,65,62
38580,71,Mostly Cloudy,69,74,65,63
38581,72,Cloudy,71,76,65,62
38582,71,Cloudy,69,73,64,61
38583,72,Cloudy,71,76,64,62
38585,69,Cloudy,67,73,63,60
38587,72,Cloudy,71,76,65,62
38588,70,Cloudy,68,72,65,62
38589,68,Mostly Cloudy,66,71,64,61
